Series_Title,Year,title_norm,kg_id,imdb_id,kg_release_date,kg_vote_avg,kg_vote_count,_matched_key
The Godfather,1972,the godfather,238.0,tt0068646,1972-03-14,8.5,6024.0,title_norm
The Dark Knight,2008,the dark knight,155.0,tt0468569,2008-07-16,8.3,12269.0,title_norm
The Godfather: Part II,1974,the godfather part ii,240.0,tt0071562,1974-12-20,8.3,3418.0,title_norm
12 Angry Men,1957,12 angry men,389.0,tt0050083,1957-03-25,8.2,2130.0,title_norm
The Lord of the Rings: The Return of the King,2003,the lord of the rings the return of the king,122.0,tt0167260,2003-12-01,8.1,8226.0,title_norm
Pulp Fiction,1994,pulp fiction,680.0,tt0110912,1994-09-10,8.3,8670.0,title_norm
Schindler's List,1993,schindlers list,424.0,tt0108052,1993-11-29,8.3,4436.0,title_norm
Inception,2010,inception,27205.0,tt1375666,2010-07-14,8.1,14075.0,title_norm
Fight Club,1999,fight club,550.0,tt0137523,1999-10-15,8.3,9678.0,title_norm
The Lord of the Rings: The Fellowship of the Ring,2001,the lord of the rings the fellowship of the ring,120.0,tt0120737,2001-12-18,8.0,8892.0,title_norm
Forrest Gump,1994,forrest gump,13.0,tt0109830,1994-07-06,8.2,8147.0,title_norm
"Il buono, il brutto, il cattivo",1966,il buono il brutto il cattivo,429,tt0060196,1966-12-23,8.1,2371.0,original_title_norm
The Lord of the Rings: The Two Towers,2002,the lord of the rings the two towers,121.0,tt0167261,2002-12-18,8.0,7641.0,title_norm
The Matrix,1999,the matrix,603.0,tt0133093,1999-03-30,7.9,9079.0,title_norm
Goodfellas,1990,goodfellas,769.0,tt0099685,1990-09-12,8.2,3211.0,title_norm
Star Wars: Episode V - The Empire Strikes Back,1980,star wars episode v  the empire strikes back,,,,,,
One Flew Over the Cuckoo's Nest,1975,one flew over the cuckoos nest,510.0,tt0073486,1975-11-18,8.3,3001.0,title_norm
Hamilton,2020,hamilton,,,,,,
Gisaengchung,2019,gisaengchung,,,,,,
Soorarai Pottru,2020,soorarai pottru,,,,,,
Interstellar,2014,interstellar,157336.0,tt0816692,2014-11-05,8.1,11187.0,title_norm
Cidade de Deus,2002,cidade de deus,598,tt0317248,2002-02-05,8.2,1852.0,original_title_norm
Sen to Chihiro no kamikakushi,2001,sen to chihiro no kamikakushi,,,,,,
Saving Private Ryan,1998,saving private ryan,857.0,tt0120815,1998-07-24,7.9,5148.0,title_norm
The Green Mile,1999,the green mile,497.0,tt0120689,1999-12-10,8.2,4166.0,title_norm
La vita è bella,1997,la vita è bella,637,tt0118799,1997-12-20,8.3,3643.0,original_title_norm
Se7en,1995,se7en,807.0,tt0114369,1995-09-22,8.1,5915.0,title_norm
The Silence of the Lambs,1991,the silence of the lambs,274.0,tt0102926,1991-02-01,8.1,4549.0,title_norm
Star Wars,1977,star wars,11.0,tt0076759,1977-05-25,8.1,6778.0,title_norm
Seppuku,1962,seppuku,,,,,,
Shichinin no samurai,1954,shichinin no samurai,,,,,,
It's a Wonderful Life,1946,its a wonderful life,1585.0,tt0038650,1946-12-20,8.0,1103.0,title_norm
Joker,2019,joker,,,,,,
Whiplash,2014,whiplash,244786.0,tt2582802,2014-10-10,8.3,4376.0,title_norm
The Intouchables,2011,the intouchables,77338.0,tt1675434,2011-11-02,8.2,5410.0,title_norm
The Prestige,2006,the prestige,1124.0,tt0482571,2006-10-19,8.0,4510.0,title_norm
The Departed,2006,the departed,1422.0,tt0407887,2006-10-05,7.9,4455.0,title_norm
The Pianist,2002,the pianist,423.0,tt0253474,2002-09-24,8.1,1927.0,title_norm
Gladiator,2000,gladiator,98.0,tt0172495,2000-05-01,7.9,5566.0,title_norm
American History X,1998,american history x,73.0,tt0120586,1998-10-30,8.2,3120.0,title_norm
The Usual Suspects,1995,the usual suspects,629.0,tt0114814,1995-07-19,8.1,3334.0,title_norm
Léon,1994,léon,101,tt0110413,1994-09-14,8.2,4293.0,original_title_norm
The Lion King,1994,the lion king,8587.0,tt0110357,1994-06-23,8.0,5520.0,title_norm
Terminator 2: Judgment Day,1991,terminator 2 judgment day,280.0,tt0103064,1991-07-01,7.7,4274.0,title_norm
Nuovo Cinema Paradiso,1988,nuovo cinema paradiso,11216,tt0095765,1988-11-17,8.2,834.0,original_title_norm
Hotaru no haka,1988,hotaru no haka,,,,,,
Back to the Future,1985,back to the future,105.0,tt0088763,1985-07-03,8.0,6239.0,title_norm
Once Upon a Time in the West,1968,once upon a time in the west,335.0,tt0064116,1968-12-21,8.1,1160.0,title_norm
Psycho,1960,psycho,539.0,tt0054215,1960-06-16,8.3,2405.0,title_norm
Casablanca,1942,casablanca,289.0,tt0034583,1942-11-26,7.9,1462.0,title_norm
Modern Times,1936,modern times,3082.0,tt0027977,1936-02-05,8.1,881.0,title_norm
City Lights,1931,city lights,901.0,tt0021749,1931-01-30,8.2,444.0,title_norm
Capharnaüm,2018,capharnaüm,,,,,,
Ayla: The Daughter of War,2017,ayla the daughter of war,,,,,,
Vikram Vedha,2017,vikram vedha,,,,,,
Kimi no na wa.,2016,kimi no na wa,,,,,,
Dangal,2016,dangal,360814.0,tt5074352,2016-12-23,8.0,140.0,title_norm
Spider-Man: Into the Spider-Verse,2018,spiderman into the spiderverse,,,,,,
Avengers: Endgame,2019,avengers endgame,,,,,,
Avengers: Infinity War,2018,avengers infinity war,,,,,,
Coco,2017,coco,,,,,,
Django Unchained,2012,django unchained,68718.0,tt1853728,2012-12-25,7.8,10297.0,title_norm
The Dark Knight Rises,2012,the dark knight rises,49026.0,tt1345836,2012-07-16,7.6,9263.0,title_norm
3 Idiots,2009,3 idiots,20453.0,tt1187043,2009-12-23,7.8,850.0,title_norm
Taare Zameen Par,2007,taare zameen par,7508.0,tt0986264,2007-12-21,7.7,194.0,title_norm
WALL·E,2008,walle,10681.0,tt0910970,2008-06-22,7.8,6439.0,title_norm
The Lives of Others,2006,the lives of others,582.0,tt0405094,2006-03-15,7.9,977.0,title_norm
Oldeuboi,2003,oldeuboi,,,,,,
Memento,2000,memento,77.0,tt0209144,2000-10-11,8.1,4168.0,title_norm
Mononoke-hime,1997,mononokehime,,,,,,
Once Upon a Time in America,1984,once upon a time in america,311.0,tt0087843,1984-02-16,8.3,1104.0,title_norm
Raiders of the Lost Ark,1981,raiders of the lost ark,85.0,tt0082971,1981-06-12,7.7,3949.0,title_norm
The Shining,1980,the shining,694.0,tt0081505,1980-05-22,8.1,3890.0,title_norm
Apocalypse Now,1979,apocalypse now,28.0,tt0078788,1979-08-15,8.0,2112.0,title_norm
Alien,1979,alien,348.0,tt0078748,1979-05-25,7.9,4564.0,title_norm
Anand,1971,anand,,,,,,
Tengoku to jigoku,1963,tengoku to jigoku,,,,,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,dr strangelove or how i learned to stop worrying and love the bomb,935.0,tt0057012,1964-01-29,8.0,1472.0,title_norm
Witness for the Prosecution,1957,witness for the prosecution,37257.0,tt0051201,1957-12-17,8.1,278.0,title_norm
Paths of Glory,1957,paths of glory,975.0,tt0050825,1957-09-18,8.2,565.0,title_norm
Rear Window,1954,rear window,567.0,tt0047396,1954-08-01,8.2,1531.0,title_norm
Sunset Blvd.,1950,sunset blvd,,,,,,
The Great Dictator,1940,the great dictator,914.0,tt0032553,1940-10-15,8.1,756.0,title_norm
1917,2019,1917,,,,,,
Tumbbad,2018,tumbbad,,,,,,
Andhadhun,2018,andhadhun,,,,,,
Drishyam,2013,drishyam,244049.0,tt3417422,2013-12-19,8.1,23.0,title_norm
Jagten,2012,jagten,103663,tt2106476,2012-08-28,7.9,946.0,original_title_norm
Jodaeiye Nader az Simin,2011,jodaeiye nader az simin,,,,,,
Incendies,2010,incendies,46738.0,tt1255953,2010-09-04,7.9,496.0,title_norm
Miracle in cell NO.7,2019,miracle in cell no7,,,,,,
Babam ve Oglum,2005,babam ve oglum,,,,,,
Inglourious Basterds,2009,inglourious basterds,16869.0,tt0361748,2009-08-18,7.9,6598.0,title_norm
Eternal Sunshine of the Spotless Mind,2004,eternal sunshine of the spotless mind,38.0,tt0338013,2004-03-19,7.9,3758.0,title_norm
Amélie,2001,amélie,194.0,tt0211915,2001-04-25,7.8,3403.0,title_norm
Snatch,2000,snatch,107.0,tt0208092,2000-09-01,7.7,2953.0,title_norm
Requiem for a Dream,2000,requiem for a dream,641.0,tt0180093,2000-10-27,7.9,2525.0,title_norm
American Beauty,1999,american beauty,14.0,tt0169547,1999-09-15,7.9,3438.0,title_norm
Good Will Hunting,1997,good will hunting,489.0,tt0119217,1997-12-05,7.9,2880.0,title_norm
